com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,age,age_80_84_years,persons,219.3710819,0.024517733392969535
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,age,age_85_years_and_over,persons,201.8677159,0.02256149167983803
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,age,age_8_years,persons,116.4260335,0.013012209378878665
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,age,age_9_years,persons,112.3107153,0.012552266009948982
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_0_years,persons,11115,0.010752750585524273
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_10_years,persons,14503,0.014030332140518086
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_11_years,persons,14529,0.014055484773466681
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_12_years,persons,14729,0.014248966565378949
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_13_years,persons,14765,0.014283793287923157
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_14_years,persons,14530,0.014056452182426243
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_15_years,persons,13972,0.013516637982991016
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_16_years,persons,13888,0.013435375630387863
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_17_years,persons,13749,0.013300905785008837
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_18_years,persons,13141,0.012712721137595544
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_19_years,persons,12874,0.012454422945392667
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_1_years,persons,11034,0.010674390459799805
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_20_24_years,persons,60055,0.05809774506645616
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_25_29_years,persons,52936,0.05121076068333899
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_2_years,persons,11580,0.011202595751720295
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_30_34_years,persons,58789,0.056873005323651506
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_35_39_years,persons,71868,0.06952574710575425
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_3_years,persons,11896,0.011508296982941677
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_40_44_years,persons,79297,0.07671262826633543
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_45_49_years,persons,74420,0.07199457477055478
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_4_years,persons,12188,0.011790780399133588
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_50_54_years,persons,69283,0.06702499494528819
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_55_59_years,persons,64844,0.0627306665737954
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_5_years,persons,12684,0.012270615243076013
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_60_64_years,persons,60023,0.05806678797975019
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_65_69_years,persons,54249,0.05248096864724303
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_6_years,persons,13093,0.012666285507536599
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_70_74_years,persons,46769,0.04524474962972422
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_75_79_years,persons,35015,0.033873824719040255
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,diocese,age,age_7_years,persons,13317,0.01288298511447834
