com,age_0_years,age_1_years,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_years_and_over
ballina,106.6025085,114.2570054,119.4665981,116.3295246,124.3536292,131.776424,134.8384388,147.7752069,116.4260335,112.3107153,123.6141824,130.0967717,109.8387305,110.8388684,131.891439,83.894394,124.1745525,112.2964482,97.84690810000001,92.679579,447.6732141,452.2338889,560.5463039,670.9995303,649.2871005,621.6717662,543.0726496999999,553.3409091999999,503.325133,456.8078707,410.3223814,315.6179384,219.3710819,201.8677159
cork,216.7867312,236.6247689,210.6118923,222.9425718,218.1306751,244.7842466,229.2087217,290.8843524,245.9230226,260.2361656,266.0304251,252.7722097,261.2973166,243.6038104,252.87213930000001,202.074937,200.2303574,220.6079492,208.9379427,213.8705039,834.1513261,899.9638174,1118.8030537,1453.4622275,1605.389462,1276.3679783,1028.4191756,916.9661674,866.734627,768.9892192,632.008239,399.7048063,213.0236208,199.3259529
sligo,288.3405324,286.6651141,269.8200218,292.8148151,328.7792072,280.4116864,302.5370895,316.9031046,318.3618527,333.2573234,330.7724274,322.4703915,341.3741376,319.4009198,373.0713866,329.5568362,305.4002429,316.0780487,360.4774624,427.324042,2116.4310195,1622.3209483,1702.7687473,1942.0399445,2071.2553819,1847.1367016,1677.0473017,1682.3898007,1633.6955322,1530.5028551,1357.8364857,1011.6577805,672.1120734,637.6928928
