com,very_good,good,fair,bad,very_bad,not_stated
ballina,4445.2385779,2955.9854025,1040.8062455,196.106296,41.0100341,268.29888619999997
cork,9784.2630839,4913.6791687,1347.9929303,192.57978789999999,50.7782591,622.4471828
sligo,13784.7242979,8392.5335648,2855.4908063,499.1789401,105.8527696,2310.9237288
