com,african_caribbean_black,asian,other,white
ballina,26.9860323,170.3514789,131.0883549,8343.4430425
cork,291.3413864,781.5282166,373.0558781,14761.5833022
sligo,546.0891872,1092.819106,508.5528958,23221.2469031
