com,white_irish,white_irish_traveller,other_white,black_or_black_irish,asian_or_asian_irish,other,not_stated
ballina,6857.5373893,349.1375068,832.4248071,30.9908137,135.8046986,113.4722493,146.69302390000001
cork,12280.1732028,23.2983742,1893.3252659,358.7833481,288.3019424,323.0873197,371.2067415
sligo,20454.9412835,235.3169967,2250.2508802,389.7467691,755.0464021,374.7290514,811.0565696
