com,white_irish,white_irish_traveller,other_white,black_or_black_irish,asian_or_asian_irish,other,not_stated
ballina,7106.5237714,406.3700281,830.549243,26.9860323,170.3514789,131.0883549,226.8697708
cork,12839.8734349,22.0344068,1899.6754605,291.3413864,781.5282166,373.0558781,548.9886936
sligo,20813.1971471,232.757836,2175.29192,546.0891872,1092.819106,508.5528958,2042.0471972
