com,very_good,good,fair,bad,very_bad,not_stated
ballina,4732.899785,2536.9420773,898.3159011,179.6254315,29.5453775,218.1371603
cork,9932.3122291,4097.1446694,979.0602842,155.9942548,40.8226141,441.4699139
sligo,14252.255626,7607.6251699,2493.3036799,447.8111701,91.9923887,1050.5501771
