com,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
ballina,1146.3766921,444.6659448,118.5200009,773.8296792,163.9554317,60.1136941,408.9277093,25.017081,37.774128499999996,6.7843341,32.7040942,21.6358879,107.2833001,61.4625578
cork,1012.7505387,812.3889375,256.6091834,1983.0502896,243.4373693,71.8026001,493.6169721,46.3208657,96.5715422,9.6831515,58.0086,78.1662085,92.9717139,205.059541
sligo,3067.4065319,1570.1574985,376.5449947,2326.6078135,339.5823716,146.2863709,972.5813783,90.8435203,96.9759459,17.00249,94.1677265,64.2852122,217.191274,609.4173353
