com,catholic,other_religion,no_religion,not_stated
ballina,7315.9141113000005,521.8405652,845.7420353,263.9487304
cork,12070.3500616,1546.5779581,2676.2942911,618.5181019
sligo,18519.6856041,2947.1158653,4208.0971137,2273.8055244
