com,age_0_years,age_1_years,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_years_and_over
ballina,163.5884324,147.3216103,148.0866,119.0957452,118.649849,139.4121935,116.9236408,115.6826673,133.6734164,97.1161574,113.2981275,116.5800601,97.9710388,124.0476123,115.4657955,92.847152,116.1949249,109.4510839,105.147772,84.0392794,422.0636245,495.4998766,690.7474597,638.3750283,608.1999967,508.1258376,560.1405304,493.8358073,449.4132412,433.7065289,338.4941748,249.5750303,170.5013872,162.1940505
cork,222.3362146,291.8552969,262.2068533,263.9325128,269.3661785,297.8660326,271.3531695,252.9703394,271.3860915,188.4918893,217.6893114,216.796978,197.343872,218.8992805,181.8652624,165.288121,186.2600533,175.1296947,181.3939702,200.0137854,804.6155697,957.6526241,1412.328101,1624.9284989,1278.2500022,960.9978923,910.3166455,906.9552878,755.204776,587.5093832,377.9890927,213.9858457,174.5402772,149.0850619
sligo,276.7395484,302.5208789,297.0729406,313.1951163,313.528295,322.102703,349.3710678,285.0877799,342.6496279,305.0963155,263.7626508,266.1594894,294.2203143,297.8191074,280.1405404,293.8866506,301.7899241,354.223293,381.4466368,462.2348233,1954.8185521,1588.9082998,1837.9702230999999,1931.3587067,1624.6423039,1595.6927597,1657.8421229,1642.7368518,1499.9747826,1420.6037907,1045.3557743,774.2825117,560.4004819,505.9033471
