com,catholic,other_religion,no_religion,not_stated
ballina,7470.2869638,541.5655635,438.0934651,145.5197403
cork,12394.0675684,1285.0106323,1636.7493603,330.9764045
sligo,19790.0021067,2713.7426259,2625.3352811,814.458198
