com,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
ballina,1219.060011,455.0582613,146.7774189,821.1446717,184.5921027,73.0757843,372.5474472,34.0448854,45.9017829,11.2769683,34.6315984,22.6451061,89.808519,89.574049
cork,1178.6378903,911.2343805,252.6739738,2067.4606595,239.2467135,78.1586572,533.0786775,65.026449,137.9412843,10.8439848,75.6350011,75.054587,107.4040058,237.8713598
sligo,3307.1529909,1709.8483426,491.5451595,2339.7240234,359.5999849,177.9529441,950.4292427,137.1368678,121.9498275,13.9969301,102.701327,78.3930561,196.6789494,959.6116963
