diocese,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
"Cork, Cloyne and Ross",47291,30161,8892,60623,7928,2896,15892,2538,3826,520,1943,1928,4324,10764
"Kilmore, Elphin and Ardagh",19085,12117,2527,22216,3104,1083,5621,716,1343,134,616,688,1363,2257
Meath and Kildare,34784,25588,6679,61303,8857,2696,15124,2489,4926,553,2228,2746,3428,5690
"Tuam, Limerick and Killaloe",96954,60223,14614,109587,15136,5731,29659,4650,6831,938,3712,3748,7977,19574
