diocese,age_0_years,age_1_years,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_years_and_over
"Cork, Cloyne and Ross",7268,7412,7624,7837,8079,8454,8459,8369,8198,7795,7412,7314,7294,7256,6969,7067,6865,7019,7262,7365,32957,32905,40830,44789,41496,38240,35749,31550,27837,24807,19262,13824,9896,7878
"Kilmore, Elphin and Ardagh",2540,2739,2899,2942,3013,3115,3132,3163,3075,3025,2894,2845,2897,2819,2892,2750,2760,2852,2498,2154,9428,9856,12861,14669,14142,13624,12968,12380,11402,10094,7670,5299,4009,3553
Meath and Kildare,7451,7948,8429,8605,9115,9601,9387,9390,9396,8733,8379,8280,8255,8149,8019,7790,7456,7366,7065,5957,26030,28247,38747,44844,43518,39038,33549,27840,23711,20418,15148,10013,6845,5678
"Tuam, Limerick and Killaloe",12957,13129,13579,14331,14878,15018,15032,15200,15277,14246,14052,13887,13845,13906,13595,13510,13797,13609,13313,12690,56622,55563,71021,79006,75429,71164,67099,63561,57828,52245,39629,27872,19697,16733
