diocese,white_irish,white_irish_traveller,other_white,black_or_black_irish,asian_or_asian_irish,other,not_stated
"Cork, Cloyne and Ross",430502,2309,53461,6288,13213,9144,27871
"Kilmore, Elphin and Ardagh",156846,1798,19605,2391,3658,3313,9887
Meath and Kildare,411335,3085,50707,8382,12001,8950,26426
"Tuam, Limerick and Killaloe",808928,10664,87777,10848,24090,15658,61010
