diocese,very_good,good,fair,bad,very_bad,not_stated
"Cork, Cloyne and Ross",336832,150709,42279,6615,1546,15357
"Kilmore, Elphin and Ardagh",115674,56401,18288,2821,597,5178
Meath and Kildare,323298,143954,39444,6566,1391,13744
"Tuam, Limerick and Killaloe",593596,301649,90324,14216,2976,30559
