diocese,catholic,other_religion,no_religion,not_stated
"Cork, Cloyne and Ross",390260,41807,85781,31118
"Kilmore, Elphin and Ardagh",151284,18889,18529,10973
Meath and Kildare,385239,45967,63857,29398
"Tuam, Limerick and Killaloe",768237,76267,121569,67616
