diocese,african_caribbean_black,asian,other,white
"Cork, Cloyne and Ross",6288,13213,9144,486272
"Kilmore, Elphin and Ardagh",2391,3658,3313,178249
Meath and Kildare,8382,12001,8950,465127
"Tuam, Limerick and Killaloe",10848,24090,15658,907369
